[2022-06-04T01:53:07.682] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:53:30.297] [INFO] custom - Path: /, Method: GET
[2022-06-04T01:53:30.514] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:53:30.515] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:53:31.660] [INFO] custom - Path: /login, Method: GET
[2022-06-04T01:53:31.764] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:53:31.765] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:53:35.389] [INFO] custom - Path: /login, Method: POST
[2022-06-04T01:53:35.671] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:53:35.866] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:53:35.866] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:53:35.891] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:53:36.588] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:53:36.589] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:53:36.676] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T02:00:46.350] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T02:00:46.528] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T02:00:50.609] [INFO] custom - Path: /home, Method: GET
[2022-06-04T02:00:50.935] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T02:00:51.001] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T02:00:51.001] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T02:00:51.183] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T02:00:51.424] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T02:00:51.426] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T02:13:57.069] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T02:13:57.070] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T02:24:36.055] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T02:24:36.062] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T02:24:46.106] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T02:24:46.367] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T02:24:48.751] [INFO] custom - Path: /home, Method: GET
[2022-06-04T02:24:48.799] [INFO] custom - Path: /, Method: GET
[2022-06-04T02:24:49.007] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T02:24:49.007] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T02:24:50.092] [INFO] custom - Path: /login, Method: GET
[2022-06-04T02:24:50.197] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T02:24:50.198] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T02:24:52.369] [INFO] custom - Path: /login, Method: POST
[2022-06-04T02:24:52.419] [INFO] custom - Path: /home, Method: GET
